,meanx,meany,stx,sty,s,i,r
56,1.28,1.21,0.0001,0.006734150657750821,0.90677652102647,0.29997695996037654,0.9099999999999999
57,1.28,1.21,0.0001,0.007564633275546291,0.9067509456314296,0.30002453682576974,0.9099999999999999
58,1.28,1.21,0.0001,0.008497534359086439,0.9067221894270057,0.3000777849564191,0.9099999999999999
59,1.28,1.21,0.0001,0.009545484566618337,0.9066898530302782,0.30013735262840585,0.9099999999999999
60,1.28,1.21,0.0001,0.010722672220103232,0.9066534858965991,0.300203954767027,0.9099999999999999
61,1.28,1.21,0.0001,0.012045035402587823,0.9066125794910764,0.30027837771847493,0.9099999999999999
62,1.28,1.21,0.0001,0.013530477745798061,0.9065665594737788,0.30036148372004473,0.909
63,1.28,1.21,0.0001,0.01519911082952933,0.9065147767357186,0.30045421480313494,0.908
64,1.28,1.21,0.0001,0.017073526474706904,0.9064564970902399,0.3005575957719927,0.908
65,1.28,1.21,0.0001,0.019179102616724886,0.9063908893840626,0.3006727357834994,0.908
66,1.28,1.21,0.0001,0.021544346900318846,0.9063170117416248,0.30080082790199364,0.908
67,1.28,1.21,0.0001,0.02420128264794381,0.9062337955924592,0.3009431458087456,0.907
68,1.28,1.21,0.0001,0.027185882427329403,0.9061400270499453,0.3011010365959809,0.905
69,1.28,1.21,0.0001,0.030538555088334154,0.9060343251052675,0.3012759082542033,0.9040000000000001
70,1.28,1.21,0.0001,0.03430469286314919,0.9059151159650837,0.30146921004735916,0.9030000000000001
71,1.28,1.21,0.0001,0.03853528593710527,0.9057806026846787,0.30168240343384084,0.9030000000000001
72,1.28,1.21,0.0001,0.04328761281083057,0.9056287290154822,0.3019169204916491,0.9020000000000001
73,1.28,1.21,0.0001,0.04862601580065353,0.905457136076425,0.3021741058848682,0.9020000000000001
74,1.28,1.21,0.0001,0.05462277217684343,0.9052631100440275,0.30245513718029965,0.9020000000000001
75,1.28,1.21,0.0001,0.061359072734131694,0.9050435184966444,0.3027609166567972,0.9020000000000001
76,1.28,1.21,0.0001,0.06892612104349695,0.9047947322889272,0.30309192543878616,0.9010000000000001
77,1.28,1.21,0.0001,0.0774263682681127,0.9045125287994569,0.30344802748793703,0.9
78,1.28,1.21,0.0001,0.08697490026177834,0.9041919709944267,0.30382820611211186,0.898
79,1.28,1.21,0.0001,0.09770099572992247,0.9038272548846079,0.3042302081219985,0.897
80,1.28,1.21,0.0001,0.10974987654930568,0.9034115155801923,0.30465005850434546,0.8930000000000001
81,1.28,1.21,0.0001,0.12328467394420659,0.9029365795023547,0.3050813871946992,0.8910000000000002
82,1.28,1.21,0.0001,0.13848863713938717,0.902392648625167,0.3055144696453888,0.8879999999999999
83,1.28,1.21,0.0001,0.15556761439304723,0.9017679065821973,0.30593480095405845,0.882
84,1.28,1.21,0.0001,0.1747528400007683,0.901048063086367,0.30632083508440233,0.876
85,1.28,1.21,0.0001,0.19630406500402725,0.9002159675866294,0.30664002281409025,0.868
86,1.28,1.21,0.0001,0.22051307399030456,0.8992519109388324,0.30684069421715154,0.859
87,1.28,1.21,0.0001,0.2477076355991709,0.8981376808725006,0.30683068373542877,0.8469999999999999
88,1.28,1.21,0.0001,0.2782559402207126,0.8968857479975902,0.30638886587361913,0.8280000000000001
89,1.28,1.21,0.0001,0.31257158496882353,0.8965052912304186,0.30289124487208063,0.7969999999999999
90,1.28,1.21,0.0001,0.3511191734215127,0.8916678045759137,0.308160207084142,0.777
91,1.28,1.21,0.0001,0.3944206059437656,0.8885700869130991,0.30678411601556765,0.7330000000000001
92,1.28,1.21,0.0001,0.44306214575838776,0.8838473131876319,0.3078185634619013,0.6759999999999999
93,1.28,1.21,0.0001,0.49770235643321137,0.8738226127497377,0.31834021897882014,0.6220000000000001
94,1.28,1.21,0.0001,0.5590810182512223,0.8851670778608058,0.29156453996124576,0.5860000000000001
95,1.28,1.21,0.0001,0.6280291441834247,0.8848669328859815,0.28777303812763466,0.54
96,1.28,1.21,0.0001,0.7054802310718645,0.889420997808595,0.27690112421862967,0.499
97,1.28,1.21,0.0001,0.7924828983539169,0.9002012423692192,0.2573691200100826,0.479
98,1.28,1.21,0.0001,0.8902150854450392,0.9131984948668925,0.23257570993215654,0.449
99,1.28,1.21,0.0001,1.0,0.9116884828058691,0.24649955938263907,0.43099999999999994
100,1.28,1.21,0.001,1e-05,0.9069807119608047,0.2995985622836376,0.9099999999999999
101,1.28,1.21,0.001,1.1233240329780266e-05,0.9069806742813652,0.29959863500804085,0.9099999999999999
102,1.28,1.21,0.001,1.2618568830660211e-05,0.9069806319550876,0.2995987167006754,0.9099999999999999
103,1.28,1.21,0.001,1.4174741629268048e-05,0.9069805844088904,0.29959880846742465,0.9099999999999999
104,1.28,1.21,0.001,1.5922827933410938e-05,0.9069805309990132,0.29959891155052576,0.9099999999999999
105,1.28,1.21,0.001,1.7886495290574353e-05,0.9069804710022986,0.29959902734537514,0.9099999999999999
106,1.28,1.21,0.001,2.0092330025650458e-05,0.9069804036064015,0.2995991574194073,0.9099999999999999
107,1.28,1.21,0.001,2.2570197196339216e-05,0.9069803278987868,0.29959930353329967,0.9099999999999999
108,1.28,1.21,0.001,2.5353644939701114e-05,0.9069802428543717,0.2995994676647872,0.9099999999999999
109,1.28,1.21,0.001,2.848035868435799e-05,0.9069801473216433,0.2995996520354117,0.9099999999999999
110,1.28,1.21,0.001,3.199267137797385e-05,0.9069800400070644,0.2995998591405639,0.9099999999999999
111,1.28,1.21,0.001,3.5938136638046256e-05,0.9069799194575525,0.29960009178322383,0.9099999999999999
112,1.28,1.21,0.001,4.037017258596558e-05,0.9069797840408004,0.2996003531118544,0.9099999999999999
113,1.28,1.21,0.001,4.534878508128582e-05,0.9069796319231657,0.2996006466629577,0.9099999999999999
114,1.28,1.21,0.001,5.0941380148163754e-05,0.9069794610448341,0.29960097640886446,0.9099999999999999
115,1.28,1.21,0.001,5.72236765935022e-05,0.9069792690919153,0.29960134681140466,0.9099999999999999
116,1.28,1.21,0.001,6.428073117284319e-05,0.9069790534650967,0.2996017628821712,0.9099999999999999
117,1.28,1.21,0.001,7.220809018385456e-05,0.9069788112444266,0.2996022302501936,0.9099999999999999
118,1.28,1.21,0.001,8.111308307896872e-05,0.9069785391497518,0.2996027552379192,0.9099999999999999
119,1.28,1.21,0.001,9.111627561154887e-05,0.9069782334962664,0.29960334494652774,0.9099999999999999
120,1.28,1.21,0.001,0.00010235310218990269,0.9069778901445782,0.2996040073517102,0.9099999999999999
121,1.28,1.21,0.001,0.00011497569953977356,0.9069775044446015,0.2996047514111944,0.9099999999999999
