,meanx,meany,stx,sty,s,i,r
203,1,1.3,0.0001,0.027825594,0.906025419,0.332513753,0.908
303,1,1.3,0.0001,0.046415888,0.905368137,0.33361078,0.9
403,1,1.3,0.0001,0.077426368,0.904235765,0.33529331,0.9
503,1,1.3,0.0001,0.129154967,0.902238749,0.337688124,0.89
603,1,1.3,0.0001,0.215443469,0.89855605,0.34047991,0.866
703,1,1.3,0.0001,0.359381366,0.891551533,0.339172631,0.772
803,1,1.3,0.0001,0.59948425,0.872084728,0.345745173,0.576
903,1,1.3,0.0001,1,0.895785044,0.311171694,0.444
1003,1,1.3,0.001,0.01,0.906615627,0.331448684,0.91
1103,1,1.3,0.001,0.016681005,0.906386574,0.331873437,0.91
1203,1,1.3,0.001,0.027825594,0.906000111,0.332562769,0.908
1303,1,1.3,0.001,0.046415888,0.905343022,0.333659448,0.9
1403,1,1.3,0.001,0.077426368,0.904210998,0.335341355,0.9
1503,1,1.3,0.001,0.129154967,0.90221463,0.337735008,0.89
1603,1,1.3,0.001,0.215443469,0.898533212,0.340524502,0.866
1703,1,1.3,0.001,0.359381366,0.891530789,0.339213512,0.772
1803,1,1.3,0.001,0.59948425,0.872063134,0.345788597,0.576
1903,1,1.3,0.001,1,0.895781064,0.311181178,0.444
2003,1,1.3,0.01,0.01,0.906348475,0.331966949,0.91
2103,1,1.3,0.01,0.016681005,0.906120076,0.332390521,0.91
2203,1,1.3,0.01,0.027825594,0.905734736,0.333077826,0.91
2303,1,1.3,0.01,0.046415888,0.905079613,0.33417096,0.9
2403,1,1.3,0.01,0.077426368,0.903951117,0.335846512,0.9
2503,1,1.3,0.01,0.129154967,0.901961331,0.338228325,0.89
2603,1,1.3,0.01,0.215443469,0.898292931,0.340994451,0.866
2703,1,1.3,0.01,0.359381366,0.891311849,0.339645496,0.772
2803,1,1.3,0.01,0.59948425,0.871837508,0.346242381,0.576
2903,1,1.3,0.01,1,0.895728672,0.311301228,0.444
3003,1,1.3,0.1,0.01,0.902285035,0.339951553,0.908
3103,1,1.3,0.1,0.016681005,0.902064172,0.340361107,0.908
3203,1,1.3,0.1,0.027825594,0.901691788,0.341024333,0.904
3303,1,1.3,0.1,0.046415888,0.901059335,0.342075388,0.902
3403,1,1.3,0.1,0.077426368,0.899971569,0.343675468,0.9
3503,1,1.3,0.1,0.129154967,0.898057877,0.345916622,0.89
3603,1,1.3,0.1,0.215443469,0.894540313,0.348404773,0.866
3703,1,1.3,0.1,0.359381366,0.887812885,0.346589846,0.774
3803,1,1.3,0.1,0.59948425,0.86843519,0.3530749,0.578
3903,1,1.3,0.1,1,0.893779038,0.315343864,0.446
4003,1,1.3,1,0.01,0.800247842,0.550981234,0.854
4103,1,1.3,1,0.016681005,0.800116957,0.551214821,0.854
4203,1,1.3,1,0.027825594,0.799898199,0.551578319,0.854
4303,1,1.3,1,0.046415888,0.799531736,0.552112345,0.852
4403,1,1.3,1,0.077426368,0.798914453,0.552803087,0.85
4503,1,1.3,1,0.129154967,0.797859943,0.553397659,0.846
4603,1,1.3,1,0.215443469,0.795986503,0.55277531,0.83
4703,1,1.3,1,0.359381366,0.792022648,0.545828001,0.768
4803,1,1.3,1,0.59948425,0.779820086,0.538565423,0.626
4903,1,1.3,1,1,0.782511393,0.540313638,0.49
